w,sp,ep_r,RX_Probe.Height,RX_Probe.Width,RO_Probe.Height,RO_Probe.Width,TX_Probe.Height,TX_Probe.Width
7,12.5,4.9,0.519,8.15E-11,0.519,8.15E-11,0.313,9.65E-11
6.85718,12.5,4.9,0.517,8.15E-11,0.517,8.15E-11,0.315,9.65E-11
6.71432,12.5,4.9,0.515,8.15E-11,0.515,8.15E-11,0.316,9.65E-11
6.57146,12.5,4.9,0.513,8.15E-11,0.513,8.15E-11,0.319,9.6E-11
6.4286,12.5,4.9,0.51,8.2E-11,0.51,8.2E-11,0.322,9.6E-11
6.28574,12.5,4.9,0.507,8.2E-11,0.507,8.2E-11,0.327,9.6E-11
6.14288,12.5,4.9,0.504,8.2E-11,0.504,8.2E-11,0.328,9.6E-11
6.00002,12.5,4.9,0.5,8.2E-11,0.5,8.2E-11,0.327,9.6E-11
5.85716,12.5,4.9,0.497,8.1E-11,0.497,8.1E-11,0.325,9.6E-11
5.7143,12.5,4.9,0.495,8.1E-11,0.495,8.1E-11,0.321,9.6E-11
5.57144,12.5,4.9,0.491,8.2E-11,0.491,8.2E-11,0.315,9.6E-11
5.42858,12.5,4.9,0.489,8.2E-11,0.489,8.2E-11,0.31,9.6E-11
5.28572,12.5,4.9,0.484,8.1E-11,0.484,8.1E-11,0.308,9.6E-11
5.14286,12.5,4.9,0.552,8E-11,0.553,8E-11,0.228,9.6E-11
5,12.5,4.9,0.479,8.2E-11,0.479,8.2E-11,0.298,9.6E-11
7,12.14282,4.9,0.519,8.2E-11,0.519,8.2E-11,0.326,9.65E-11
6.85718,12.14282,4.9,0.518,8.2E-11,0.518,8.2E-11,0.327,9.65E-11
6.71432,12.14282,4.9,0.516,8.2E-11,0.516,8.2E-11,0.332,9.65E-11
6.57146,12.14282,4.9,0.513,8.2E-11,0.513,8.2E-11,0.334,9.65E-11
6.4286,12.14282,4.9,0.511,8.2E-11,0.511,8.2E-11,0.339,9.65E-11
6.28574,12.14282,4.9,0.507,8.2E-11,0.507,8.2E-11,0.339,9.6E-11
6.14288,12.14282,4.9,0.504,8.2E-11,0.504,8.2E-11,0.336,9.6E-11
6.00002,12.14282,4.9,0.503,8.15E-11,0.503,8.15E-11,0.334,9.6E-11
5.85716,12.14282,4.9,0.5,8.2E-11,0.5,8.2E-11,0.33,9.6E-11
5.7143,12.14282,4.9,0.495,8.2E-11,0.495,8.2E-11,0.325,9.6E-11
5.57144,12.14282,4.9,0.493,8.2E-11,0.493,8.2E-11,0.32,9.6E-11
5.42858,12.14282,4.9,0.49,8.15E-11,0.49,8.15E-11,0.316,9.6E-11
5.28572,12.14282,4.9,0.558,8.1E-11,0.558,8.1E-11,0.239,9.6E-11
5.14286,12.14282,4.9,0.484,8.2E-11,0.484,8.2E-11,0.305,9.6E-11
5,12.14282,4.9,0.551,8.05E-11,0.551,8.05E-11,0.225,9.6E-11
7,11.78568,4.9,0.523,8.25E-11,0.523,8.25E-11,0.34,9.65E-11
6.85718,11.78568,4.9,0.52,8.3E-11,0.52,8.3E-11,0.344,9.65E-11
6.71432,11.78568,4.9,0.518,8.25E-11,0.518,8.25E-11,0.346,9.65E-11
6.57146,11.78568,4.9,0.515,8.2E-11,0.515,8.2E-11,0.348,9.65E-11
6.4286,11.78568,4.9,0.513,8.3E-11,0.513,8.3E-11,0.348,9.65E-11
6.28574,11.78568,4.9,0.51,8.3E-11,0.51,8.3E-11,0.347,9.65E-11
6.14288,11.78568,4.9,0.507,8.25E-11,0.507,8.25E-11,0.342,9.65E-11
6.00002,11.78568,4.9,0.503,8.2E-11,0.503,8.2E-11,0.34,9.6E-11
5.85716,11.78568,4.9,0.502,8.2E-11,0.502,8.2E-11,0.335,9.6E-11
5.7143,11.78568,4.9,0.498,8.2E-11,0.498,8.2E-11,0.33,9.6E-11
5.57144,11.78568,4.9,0.496,8.25E-11,0.496,8.25E-11,0.326,9.6E-11
5.42858,11.78568,4.9,0.492,8.2E-11,0.492,8.2E-11,0.318,9.6E-11
